单价（元/平方米）,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途
15000.0,成华,驷马桥,3室2厅1厨2卫,低楼层 (共21层),102.35,平层,塔楼,西南,钢混结构,简装,有,2021-05-09,商品房,普通住宅
12800.0,成华,万年场,2室2厅1厨1卫,高楼层 (共18层),86.99,平层,板塔结合,东北,框架结构,精装,有,2021-12-11,商品房,普通住宅
12300.0,成华,理工大,2室1厅1厨1卫,高楼层 (共42层),55.25,平层,板塔结合,东南,框架结构,精装,有,2021-12-12,商品房,普通住宅
14400.0,成华,万年场,3室2厅1厨2卫,高楼层 (共16层),99.75,平层,板塔结合,东北,框架结构,简装,有,2021-05-01,商品房,普通住宅
12500.0,成华,万年场,2室2厅1厨1卫,高楼层 (共26层),74.37,平层,板塔结合,南,钢混结构,简装,有,2021-11-04,商品房,普通住宅
15600.0,成华,驷马桥,3室2厅1厨2卫,中楼层 (共18层),109.95,平层,板塔结合,南,框架结构,简装,有,2021-09-01,商品房,普通住宅
13500.0,成华,动物园,3室2厅1厨1卫,中楼层 (共18层),85.89,平层,板楼,南 北,钢混结构,简装,有,2021-09-18,商品房,普通住宅
8100.0,成华,新华公园,3室1厅1厨1卫,中楼层 (共6层),80.12,平层,板楼,东南,钢混结构,简装,无,2021-04-08,商品房,普通住宅
16250.0,成华,动物园,3室1厅1厨1卫,中楼层 (共18层),123.68,平层,塔楼,东,框架结构,精装,有,2021-07-29,商品房,普通住宅
14800.0,成华,八里小区,3室2厅1厨1卫,低楼层 (共31层),69.69,平层,塔楼,西北,框架结构,精装,有,2021-03-17,商品房,普通住宅
17800.0,成华,理工大,3室2厅1厨1卫,中楼层 (共41层),80.93,平层,塔楼,西北,框架结构,精装,有,2021-08-21,商品房,普通住宅
17500.0,成华,驷马桥,3室1厅1厨1卫,高楼层 (共20层),84.83,平层,板塔结合,东,钢混结构,精装,有,2021-10-31,商品房,普通住宅
13900.0,成华,动物园,3室1厅1厨1卫,中楼层 (共34层),72.21,平层,板塔结合,北,钢混结构,精装,有,2021-08-17,商品房,普通住宅
13200.0,成华,驷马桥,3室2厅1厨1卫,高楼层 (共22层),91.05,平层,板塔结合,西南,钢混结构,简装,有,2021-10-14,商品房,普通住宅
20500.0,成华,动物园,3室1厅1厨2卫,高楼层 (共16层),105.55,平层,塔楼,南,钢混结构,精装,有,2021-10-11,商品房,普通住宅
